name,min_salary,max_salary,currency,url,cite
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76085456?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Back-end Разработчик / Python Back-end Developer,,,,https://novosibirsk.hh.ru/vacancy/46823861?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,150000.0,230000.0,руб.,https://novosibirsk.hh.ru/vacancy/76344336?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/76868566?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Sr Python разработчик (удаленно),,300000.0,руб.,https://novosibirsk.hh.ru/vacancy/76958513?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python (разработка ОС),,,,https://novosibirsk.hh.ru/vacancy/75770502?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer,,,,https://novosibirsk.hh.ru/vacancy/75574711?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Инженер-программист Python,,,,https://novosibirsk.hh.ru/vacancy/76961134?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python Developer,,,,https://novosibirsk.hh.ru/vacancy/75817471?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/76949040?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,,,,https://novosibirsk.hh.ru/vacancy/76908070?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python midlle,,,,https://novosibirsk.hh.ru/vacancy/77060955?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Ведущий программист Python,240000.0,,руб.,https://novosibirsk.hh.ru/vacancy/75845620?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Инженер-программист (Python),,,,https://novosibirsk.hh.ru/vacancy/69100495?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,,170000.0,руб.,https://novosibirsk.hh.ru/vacancy/73911853?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Backend Developer (+NLP),,,,https://novosibirsk.hh.ru/vacancy/76274763?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer (FastApi),,,,https://novosibirsk.hh.ru/vacancy/76911595?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Младший преподаватель Python (Физтехпарк),,120000.0,руб.,https://novosibirsk.hh.ru/vacancy/75729936?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Наставник курсов по Python разработке,40000.0,80000.0,руб.,https://novosibirsk.hh.ru/vacancy/76767074?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Web Developer,,,,https://novosibirsk.hh.ru/vacancy/76129128?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle/senior python разработчик,200000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76712283?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Team Lead Python,6500.0,,USD,https://novosibirsk.hh.ru/vacancy/69431362?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python developer,230000.0,,руб.,https://novosibirsk.hh.ru/vacancy/75859273?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,,,,https://novosibirsk.hh.ru/vacancy/75609043?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer (System Integration Testing),4000.0,,USD,https://novosibirsk.hh.ru/vacancy/72424557?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle+/Senior Backend Developer (Python),,,,https://novosibirsk.hh.ru/vacancy/76910287?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Backend Developer (Senior/Remote),,300000.0,руб.,https://novosibirsk.hh.ru/vacancy/77093648?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python (middle),,,,https://novosibirsk.hh.ru/vacancy/76816845?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/75914254?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Data Engineer / Python middle developer,,,,https://novosibirsk.hh.ru/vacancy/77226302?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76482137?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик (команда SberWorks),,,,https://novosibirsk.hh.ru/vacancy/76940066?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
