names,prices,urls
Смартфон Xiaomi Redmi 9A 2/32GB Peacock Green,5499.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9a-2-32gb-peacock-green-30051226
Смартфон OPPO Reno8 T 8/128GB (CPH2481) Black,19999.0,https://www.mvideo.ru/products/smartfon-oppo-reno8-t-8-128gb-cph2481-black-400076212
Смартфон vivo Y21 4/64GB синий металлик,8999.0,https://www.mvideo.ru/products/smartfon-vivo-y21-4-64gb-sinii-metallik-30059734
Смартфон Xiaomi 11 Lite 5G NE 8+128GB Black,19999.0,https://www.mvideo.ru/products/smartfon-xiaomi-11-lite-5g-ne-8128gb-black-30059673
Смартфон Tecno POVA 3 6/128Gb Tech Silver,16999.0,https://www.mvideo.ru/products/smartfon-tecno-pova-3-6-128gb-tech-silver-30064454
Смартфон realme C30 2/32 Lake Blue (RMX3581),4999.0,https://www.mvideo.ru/products/smartfon-realme-c30-2-32-lake-blue-rmx3581-30064217
Смартфон realme C30 2/32 Bamboo Green (RMX3581),4999.0,https://www.mvideo.ru/products/smartfon-realme-c30-2-32-bamboo-green-rmx3581-30064218
Смартфон Samsung Galaxy A53 5G 6/128GB Black (SM-A536E),25999.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a53-5g-6-128gb-black-sm-a536e-30063308
Смартфон Tecno POVA Neo 2 4/64Gb Gray,9999.0,https://www.mvideo.ru/products/smartfon-tecno-pova-neo-2-4-64gb-gray-400027191
Смартфон realme C35 4 / 128GB Glowing Green (RMX3511) зеленый,10999.0,https://www.mvideo.ru/products/smartfon-realme-c35-4---128gb-glowing-green-rmx3511-zelenyi-30063712
Смартфон Xiaomi 12T Pro 8/128Gb Black,54999.0,https://www.mvideo.ru/products/smartfon-xiaomi-12t-pro-8-128gb-black-30065259
Смартфон Apple iPhone 13 128GB (PRODUCT)RED (Dual Sim),64599.0,https://www.mvideo.ru/products/smartfon-apple-iphone-13-128gb-productred-dual-sim-30066510
Смартфон vivo Y33s 4/64GB Mirror Black (2109),11999.0,https://www.mvideo.ru/products/smartfon-vivo-y33s-4-64gb-mirror-black-2109-30061722
Смартфон HUAWEI P50 8/256GB Golden Black (ABR-LX9),39999.0,https://www.mvideo.ru/products/smartfon-huawei-p50-8-256gb-golden-black-abr-lx9-30064403
Смартфон Xiaomi 12 Lite 128Gb Lite Pink,34999.0,https://www.mvideo.ru/products/smartfon-xiaomi-12-lite-128gb-lite-pink-30063159
Смартфон Xiaomi Redmi 10 2022 64GB Sea Blue,12999.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-10-2022-64gb-sea-blue-30063644
Смартфон Tecno Camon 19 6/128Gb Sea White,13999.0,https://www.mvideo.ru/products/smartfon-tecno-camon-19-6-128gb-sea-white-30063466
Смартфон ZTE Blade A31 (2+32GB) Grey,3999.0,https://www.mvideo.ru/products/smartfon-zte-blade-a31-232gb-grey-30058094
Смартфон realme GT Master Edition 6+128GB Daybreak Blue (RMX3363),24999.0,https://www.mvideo.ru/products/smartfon-realme-gt-master-edition-6128gb-daybreak-blue-rmx3363-30058842
Смартфон Itel A48 DS Black (L6006),4999.0,https://www.mvideo.ru/products/smartfon-itel-a48-ds-black-l6006-30055681
Смартфон Tecno POVA Neo 2 4/64Gb Blue,9999.0,https://www.mvideo.ru/products/smartfon-tecno-pova-neo-2-4-64gb-blue-400027221
Смартфон OPPO A55 4+64GB Black (CPH2325),9999.0,https://www.mvideo.ru/products/smartfon-oppo-a55-464gb-black-cph2325-30061564
Смартфон Xiaomi Redmi 10 2022 64GB Pebble White,12999.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-10-2022-64gb-pebble-white-30063642
Смартфон Honor X6 4+64Gb Titanium Silver,9999.0,https://www.mvideo.ru/products/smartfon-honor-x6-464gb-titanium-silver-30066225
Смартфон Xiaomi 11T 8GB+256GB Gray,32999.0,https://www.mvideo.ru/products/smartfon-xiaomi-11t-8gb256gb-gray-30059677
Смартфон Samsung Galaxy A13 4/128GB Black (SM-A137F/DSN),14899.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a13-4-128gb-black-sm-a137f-dsn-30066701
Смартфон Samsung Galaxy A23 4/64GB Peach (SM-A235F),15299.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a23-4-64gb-peach-sm-a235f-30063301
Смартфон Xiaomi 12T 128Gb Silver,36999.0,https://www.mvideo.ru/products/smartfon-xiaomi-12t-128gb-silver-30065232
Смартфон Xiaomi Redmi Note 11 Pro 8GB/128GB White,26999.0,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-11-pro-8gb-128gb-white-30063002
Смартфон Xiaomi 12 Purple 12GB 256GB,60999.0,https://www.mvideo.ru/products/smartfon-xiaomi-12-purple-12gb-256gb-30063091
Смартфон Apple iPhone 14 Pro Max 256GB Space Black eSIM,132499.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-256gb-space-black-esim-30065141
Смартфон realme 8i 4+64GB Space Black (RMX3151),14999.0,https://www.mvideo.ru/products/smartfon-realme-8i-464gb-space-black-rmx3151-30059567
Смартфон Wiko T3 4/128GB Classic Black,8999.0,https://www.mvideo.ru/products/smartfon-wiko-t3-4-128gb-classic-black-30064330
Смартфон Apple iPhone 14 Pro 256GB Gold eSIM,117499.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-256gb-gold-esim-30064950
Смартфон ZTE Blade A51 lite 2+32GB Green,3999.0,https://www.mvideo.ru/products/smartfon-zte-blade-a51-lite-232gb-green-30059472
Смартфон realme C31 4/64 Dark Green (RMX3501),7999.0,https://www.mvideo.ru/products/smartfon-realme-c31-4-64-dark-green-rmx3501-30064211
Смартфон Honor X7 4/128 Midnight Black,14999.0,https://www.mvideo.ru/products/smartfon-honor-x7-4-128-midnight-black-30065646
